Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2022-01-23 16:00:00,2414.53,2425.52,2407.02,2410.67,2713.45,2418.04,2425.09,2435.52,32.0,24.0,45.0,-14.0,-1.0,-15.0,2464.77,2434.11,2403.45,30.14
2022-01-23 16:15:00,2410.67,2428.88,2400.29,2425.1,4120.29,2420.86,2425.09,2434.42,41.0,39.0,36.0,-14.0,0.0,-14.0,2454.71,2431.52,2408.34,31.1
2022-01-23 16:30:00,2425.1,2427.57,2380.0,2385.5,11497.88,2406.72,2417.17,2429.27,29.0,33.0,32.0,-15.0,-2.0,-16.0,2453.38,2427.7,2402.02,32.73
2022-01-23 16:45:00,2385.21,2397.03,2375.82,2384.01,7789.08,2397.64,2410.54,2424.51,29.0,30.0,34.0,-15.0,-3.0,-18.0,2455.24,2424.77,2394.31,34.37
2022-01-23 17:00:00,2384.01,2420.35,2370.8,2415.01,7215.97,2404.59,2411.43,2423.51,43.0,33.0,32.0,-16.0,-1.0,-17.0,2454.37,2423.89,2393.42,33.77
2022-01-23 17:15:00,2414.45,2421.53,2400.0,2401.94,4926.14,2403.53,2409.53,2421.24,40.0,60.0,41.0,-16.0,-1.0,-17.0,2454.66,2422.79,2390.92,33.12
2022-01-23 17:30:00,2401.94,2420.85,2399.4,2416.08,2620.03,2408.55,2410.84,2420.7,45.0,93.0,62.0,-16.0,1.0,-15.0,2453.58,2421.96,2390.35,32.55
2022-01-23 17:45:00,2416.08,2428.0,2412.91,2423.48,3432.98,2414.52,2413.37,2420.99,48.0,93.0,82.0,-15.0,2.0,-13.0,2453.06,2421.64,2390.23,31.41
2022-01-23 18:00:00,2423.48,2426.19,2404.17,2413.19,3679.0,2413.99,2413.33,2420.17,45.0,95.0,93.0,-15.0,2.0,-13.0,2451.94,2420.72,2389.51,30.84
2022-01-23 18:15:00,2413.51,2425.99,2410.89,2417.25,2899.7,2415.29,2414.12,2419.86,46.0,91.0,93.0,-14.0,3.0,-11.0,2449.81,2419.68,2389.55,30.31
2022-01-23 18:30:00,2417.24,2438.92,2410.46,2435.52,2945.95,2423.38,2418.4,2421.51,53.0,91.0,92.0,-13.0,4.0,-9.0,2451.36,2420.5,2389.63,28.74
2022-01-23 18:45:00,2435.51,2438.56,2420.31,2421.49,3069.79,2422.63,2419.02,2421.51,48.0,90.0,91.0,-12.0,4.0,-8.0,2451.27,2420.43,2389.58,27.28
